특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
업종별,일반음식점,기타 외국식,소계,2021,1일 영업시간,평균 (h),10.4,-0.7,-6.3
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,24일 이하 (%),9.4,4.9,108.9
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,25~26일 (%),48.7,13.2,37.2
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,27~28일 (%),0,-13.2,-100
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,29~30일 (%),41.9,-4.8,-10.3
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,평균 (일),27.2,-0.5,-1.8
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 미만 (%),65,3,4.8
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 (%),17.2,-2.7,-13.6
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 초과 (%),17.8,-0.3,-1.7
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,평균 (h),10.2,-0.5,-4.7
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,24일 이하 (%),6,1,20
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,25~26일 (%),37.6,7,22.9
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,27~28일 (%),13.4,-4.8,-26.4
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,29~30일 (%),43.1,-3,-6.5
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,평균 (일),27.6,-0.2,-0.7
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 미만 (%),74,8.9,13.7
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 (%),14.8,-7.9,-34.8
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 초과 (%),11.2,-1,-8.2
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,평균 (h),10.3,-0.1,-1
업종별,일반음식점 외,기관 구내식당업,소계,2021,한달 영업일수,24일 이하 (%),39.2,-7.5,-16.1
업종별,일반음식점 외,기관 구내식당업,소계,2021,한달 영업일수,25~26일 (%),43.1,16.5,62
업종별,일반음식점 외,기관 구내식당업,소계,2021,한달 영업일수,27~28일 (%),5.9,-1.8,-23.4
업종별,일반음식점 외,기관 구내식당업,소계,2021,한달 영업일수,29~30일 (%),11.8,-7.3,-38.2
업종별,일반음식점 외,기관 구내식당업,소계,2021,한달 영업일수,평균 (일),24.9,0.4,1.6
업종별,일반음식점 외,출장·이동음식점업,소계,2021,1일 영업시간,12시간 미만 (%),86.1,-4.7,-5.2
업종별,일반음식점 외,출장·이동음식점업,소계,2021,1일 영업시간,12시간 (%),13.9,4.7,51.1
업종별,일반음식점 외,출장·이동음식점업,소계,2021,1일 영업시간,12시간 초과 (%),0,,
업종별,일반음식점 외,출장·이동음식점업,소계,2021,1일 영업시간,평균 (h),9.4,-0.1,-1.1
업종별,일반음식점 외,출장·이동음식점업,소계,2021,한달 영업일수,24일 이하 (%),46.9,25,114.2
업종별,일반음식점 외,출장·이동음식점업,소계,2021,한달 영업일수,25~26일 (%),23.2,-52.1,-69.2
업종별,일반음식점 외,출장·이동음식점업,소계,2021,한달 영업일수,27~28일 (%),29.9,,
업종별,일반음식점 외,출장·이동음식점업,소계,2021,한달 영업일수,29~30일 (%),0,-2.8,-100
업종별,일반음식점 외,출장·이동음식점업,소계,2021,한달 영업일수,평균 (일),23.7,-0.1,-0.4
업종별,일반음식점 외,기타 음식점업,제과점,2021,1일 영업시간,12시간 미만 (%),39.1,13.6,53.3
업종별,일반음식점 외,기타 음식점업,제과점,2021,1일 영업시간,12시간 (%),18.6,-1.6,-7.9
업종별,일반음식점 외,기타 음식점업,제과점,2021,1일 영업시간,12시간 초과 (%),42.2,-12.1,-22.3
업종별,일반음식점 외,기타 음식점업,제과점,2021,1일 영업시간,평균 (h),12.2,-0.9,-6.9
업종별,일반음식점 외,기타 음식점업,제과점,2021,한달 영업일수,24일 이하 (%),7.1,3.5,97.2
업종별,일반음식점 외,기타 음식점업,제과점,2021,한달 영업일수,25~26일 (%),33.8,3.4,11.2
업종별,일반음식점 외,기타 음식점업,제과점,2021,한달 영업일수,27~28일 (%),7.4,-6.4,-46.4
업종별,일반음식점 외,기타 음식점업,제과점,2021,한달 영업일수,29~30일 (%),51.6,-0.6,-1.1
업종별,일반음식점 외,기타 음식점업,제과점,2021,한달 영업일수,평균 (일),27.8,0,0
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,1일 영업시간,12시간 미만 (%),60.1,9,17.6
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,1일 영업시간,12시간 (%),18,-5.8,-24.4
